Script started on Monday 20 October 2014 05:14:49 PM CDT
root@naveen-Inspiron-1525: /home/naveenroot@naveen-Inspiron-1525:/home/naveen# 
Welcome to the MySQL monitor.  Commands end with ; or \g.
Your MySQL connection id is 39
Server version: 5.5.34-0ubuntu0.13.04.1 (Ubuntu)

Copyright (c) 2000, 2013, Oracle and/or its affiliates. All rights reserved.

Oracle is a registered trademark of Oracle Corporation and/or its
affiliates. Other names may be trademarks of their respective
owners.

Type 'help;' or '\h' for help. Type '\c' to clear the current input statement.

mysql> 
mysql> show tables;
ERROR 1046 (3D000): No database selected
mysql> use soccerLeague2014;
+--------------------+
| Database           |
+--------------------+
| information_schema |
| mysql              |
| naveen             |
| performance_schema |
| soccerLeague2014   |
| test               |
+--------------------+
6 rows in set (0.00 sec)

mysql> use soccerLeague2014;
Reading table information for completion of table and column names
You can turn off this feature to get a quicker startup with -A

Database changed
mysql> show tables;
+----------------------------+
| Tables_in_soccerLeague2014 |
+----------------------------+
| Club                       |
| Fixtures                   |
| Fouls                      |
| Goals                      |
| LeaguePlayer               |
| LineUp                     |
| Manager                    |
| PastMatches                |
| PlayerMatchStats           |
| Referee                    |
| Seasons                    |
| Squad                      |
| SquadManager               |
| SquadPlayers               |
| Standings                  |
| Substitute                 |
| TeamMatchStats             |
+----------------------------+
17 rows in set (0.00 sec)

mysql> select * from Club;
+--------+---------------------+------------+------------------+------------------+------------------+----------+------------------+------------------+---------------------------------------+
| ClubId | ClubName            | Founded    | ClubOwner        | Chairman         | Nickname         | Mascot   | CurrentAwayColor | CurrentHomeColor | Stadium                               |
+--------+---------------------+------------+------------------+------------------+------------------+----------+------------------+------------------+---------------------------------------+
|      1 | Atletico de Kolkata | 2014-08-08 | Sourav Ganguly   | Sanjiv Goenka    | Sanjiv Goenka    | Lion     | Black            | Red              | Salt Lake Stadium                     |
|      2 | Chennaiyin          | 2014-08-03 | MS Dhoni         | A Bachchan       | A Bachchan       | Monster  | White            | Yellow           | Jawaharlal Nehru Stadium (Chennai)    |
|      3 | Delhi Dynamos       | 2014-07-31 | S.N. Sharma      | S.N. Sharma      | S.N. Sharma      | Plane    | Blue             | Green            | Jawaharlal Nehru Stadium (Delhi)      |
|      4 | Goa                 | 2014-08-04 | Virat Kohli      | Venugopal Dhoot  | Venugopal Dhoot  | Bull     | Green            | Brown            | Fatorda Stadium                       |
|      5 | Kerala Blasters     | 2014-08-15 | Sachin Tendulkar | Prasad V Potluri | Prasad V Potluri | Elephant | Red              | Black            | Jawaharlal Nehru Stadium (Kochi)      |
|      6 | Mumbai City         | 2014-08-01 | Ranbir Kapoor    | Bimal Parekh     | Bimal Parekh     | Train    | Brown            | White            | DY Patil Stadium                      |
|      7 | NorthEast United    | 2014-05-07 | John Abraham     | Shillong Lajong  | Shillong Lajong  | Stars    | Purpule          | Purpule          | Indira Gandhi Athletic Stadium        |
|      8 | Pune City           | 2014-08-21 | Hrithik Roshan   | Gaurav Modwel    | Gaurav Modwel    | Horse    | Yellow           | Blue             | Shree Shiv Chhatrapati Sports Complex |
+--------+---------------------+------------+------------------+------------------+------------------+----------+------------------+------------------+---------------------------------------+
8 rows in set (0.00 sec)

mysql> select * from Club;[1P;[1P;[1P;[1P;L;e;a;g;u;e;P;l;a;y;e;r;
+----------+-------------+-----------+------+-------------+------------+---------------+--------------+-----------+
| PlayerID | FirstName   | LastName  | Age  | Nationality | DebutDate  | CurrentClubID | TotalMatches | isRetired |
+----------+-------------+-----------+------+-------------+------------+---------------+--------------+-----------+
|        1 | JERRY       | BAILEY    |   23 | Netherlands | 2014-08-01 |             1 |            0 |         0 |
|        2 | DENNIS      | CARTER    |   25 | USA         | 2014-08-08 |             4 |            0 |         0 |
|        3 | DENNIS      | GREEN     |   32 | CostaRica   | 2014-08-08 |             7 |            0 |         0 |
|        4 | PATRICK     | NGUYEN    |   24 | Mexico      | 2014-08-04 |             3 |            0 |         0 |
|        5 | TIMOTHY     | SCOTT     |   23 | Germany     | 2014-07-31 |             1 |            0 |         0 |
|        6 | LAWRENCE    | LEE       |   25 | Germany     | 2014-08-08 |             6 |            0 |         0 |
|        7 | JACK        | COOK      |   33 | England     | 2014-08-08 |             6 |            0 |         0 |
|        8 | PETER       | CARTER    |   22 | Brazil      | 2014-08-04 |             5 |            0 |         0 |
|        9 | LARRY       | JACKSON   |   24 | Greece      | 2014-08-04 |             1 |            0 |         0 |
|       10 | JASON       | COOPER    |   22 | Spain       | 2014-08-03 |             5 |            0 |         0 |
|       11 | LAWRENCE    | EVANS     |   26 | Portugal    | 2014-08-04 |             1 |            0 |         0 |
|       12 | DOUGLAS     | JONES     |   32 | Mexico      | 2014-08-08 |             3 |            0 |         0 |
|       13 | KEITH       | FLORES    |   29 | Brazil      | 2014-05-07 |             4 |            0 |         0 |
|       14 | EDWARD      | GONZALEZ  |   33 | Italy       | 2014-08-01 |             7 |            0 |         0 |
|       15 | MICHAEL     | RIVERA    |   28 | USA         | 2014-08-01 |             4 |            0 |         0 |
|       16 | MATTHEW     | TAYLOR    |   33 | Belgium     | 2014-08-01 |             1 |            0 |         0 |
|       17 | BRANDON     | TURNER    |   26 | Germany     | 2014-08-08 |             1 |            0 |         0 |
|       18 | BENJAMIN    | CLARK     |   29 | Switzerland | 2014-08-03 |             1 |            0 |         0 |
|       19 | CHARLES     | WHITE     |   30 | Croatia     | 2014-08-01 |             6 |            0 |         0 |
|       20 | JONATHAN    | ROBINSON  |   21 | Italy       | 2014-07-31 |             2 |            0 |         0 |
|       21 | WILLIE      | FLORES    |   24 | Argnetina   | 2014-08-08 |             5 |            0 |         0 |
|       22 | DONALD      | TORRES    |   24 | Switzerland | 2014-07-31 |             3 |            0 |         0 |
|       23 | WILLIAM     | YOUNG     |   22 | Colombia    | 2014-08-08 |             1 |            0 |         0 |
|       24 | ANTHONY     | TORRES    |   23 | Uruguay     | 2014-08-03 |             3 |            0 |         0 |
|       25 | WALTER      | PARKER    |   22 | England     | 2014-08-01 |             4 |            0 |         0 |
|       26 | MARK        | PEREZ     |   23 | Switzerland | 2014-07-31 |             4 |            0 |         0 |
|       27 | MATTHEW     | TAYLOR    |   29 | Colombia    | 2014-05-07 |             4 |            0 |         0 |
|       28 | JOSHUA      | JOHNSON   |   30 | USA         | 2014-08-15 |             3 |            0 |         0 |
|       29 | ALBERT      | KING      |   30 | Belgium     | 2014-08-08 |             7 |            0 |         0 |
|       30 | WALTER      | COLLINS   |   26 | Spain       | 2014-08-03 |             2 |            0 |         0 |
|       31 | RAYMOND     | HERNANDEZ |   32 | Colombia    | 2014-08-03 |             6 |            0 |         0 |
|       32 | KEVIN       | FLORES    |   30 | USA         | 2014-08-01 |             6 |            0 |         0 |
|       33 | BRUCE       | PHILLIPS  |   25 | Greece      | 2014-08-08 |             1 |            0 |         0 |
|       34 | JOE         | HALL      |   31 | Chile       | 2014-08-01 |             6 |            0 |         0 |
